Title,AD Related,ALG Related,Other Topics,Remarks
High Dimensional Bayesian Optimisation and Bandits via Additive Models,  ,  ,  ,  
Theory of Dual-sparse Regularized Randomized Reduction,  ,  ,  ,  
Generalization error bounds for learning to rank: Does the length of document lists matter?,  ,  ,  ,  
PeakSeg: constrained optimal segmentation and supervised penalty learning for peak detection in count data,  ,  ,  ,  
Mind the duality gap: safer rules for the Lasso,  ,  ,  ,  
A General Analysis of the Convergence of ADMM,  ,  ,  ,  
Stochastic Primal-Dual Coordinate Method for Regularized Empirical Risk Minimization,  ,  ,  ,  
DiSCO: Distributed Optimization for Self-Concordant Empirical Loss,  ,  ,  ,  
Spectral MLE: Top-K Rank Aggregation from Pairwise Comparisons,  ,  ,  ,  
Paired-Dual Learning for Fast Training of Latent Variable Hinge-Loss MRFs,  ,  ,  ,  
Structural Maxent Models,  ,  ,  ,  
A Provable Generalized Tensor Spectral Method for Uniform Hypergraph Partitioning,  ,  ,  ,  
The Benefits of Learning with Strongly Convex Approximate Inference,  ,  ,  ,  
Pushing the Limits of Affine Rank Minimization by Adapting Probabilistic PCA,  ,  ,  ,  
Budget Allocation Problem with Multiple Advertisers: A Game Theoretic View,  ,  ,  ,  
Tracking Approximate Solutions of Parameterized Optimization Problems over Multi-Dimensional (Hyper-)Parameter Domains,  ,  ,  ,  
Batch Normalization: Accelerating Deep Network Training by Reducing Internal Covariate Shift,  ,  ,  ,  
Distributed Estimation of Generalized Matrix Rank: Efficient Algorithms and Lower Bounds,  ,  ,  ,  
Landmarking Manifolds with Gaussian Processes,  ,  ,  ,  
Markov Mixed Membership Models,  ,  ,  ,  
A Unified Framework for Outlier-Robust PCA-like Algorithms,  ,  ,  ,  
Streaming Sparse Principal Component Analysis,  ,  ,  ,  
A Divide and Conquer Framework for Distributed Graph Clustering,  ,  ,  ,  
How Can Deep Rectifier Networks Achieve Linear Separability and Preserve Distances?,  ,  ,  ,  
Improved Regret Bounds for Undiscounted Continuous Reinforcement Learning,  ,  ,  ,  
The Fundamental Incompatibility of Scalable Hamiltonian Monte Carlo and Naive Data Subsampling,  ,  ,  ,  
Faster Rates for the Frank-Wolfe Method over Strongly-Convex Sets,  ,  ,  ,  
Ordered Stick-Breaking Prior for Sequential MCMC Inference of Bayesian Nonparametric Models,  ,  ,  ,  
Online Learning of Eigenvectors,  ,  ,  ,  
A Unifying Framework of Anytime Sparse Gaussian Process Regression Models with Stochastic Variational Inference for Big Data,  ,  ,  ,  
Yinyang K-Means: A Drop-In Replacement of the Classic K-Means with Consistent Speedup,  ,  ,  ,  
Ordinal Mixed Membership Models,  ,  ,  ,  
Online Tracking by Learning Discriminative Saliency Map with Convolutional Neural Network,  ,  ,  ,  
Fast Kronecker Inference in Gaussian Processes with non-Gaussian Likelihoods,  ,  ,  ,  
Statistical and Algorithmic Perspectives on Randomized Sketching for Ordinary Least-Squares,  ,  ,  ,  
On TD(0) with function approximation: Concentration bounds and a centered variant with exponential convergence,  ,  ,  ,  
Learning Parametric-Output HMMs with Two Aliased States,  ,  ,  ,  
Latent Gaussian Processes for Distribution Estimation of Multivariate Categorical Data,  ,  ,  ,  
Improving the Gaussian Process Sparse Spectrum Approximation by Representing Uncertainty in Frequency Inputs,  ,  ,  ,  
Ranking from Stochastic Pairwise Preferences: Recovering Condorcet Winners and Tournament Solution Sets at the Top,  ,  ,  ,  
Stochastic Dual Coordinate Ascent with Adaptive Probabilities,  ,  ,  ,  
Vector-Space Markov Random Fields via Exponential Families,  ,  ,  ,  
JUMP-Means: Small-Variance Asymptotics for Markov Jump Processes,  ,  ,  ,  
Low Rank Approximation using Error Correcting Coding Matrices,  ,  ,  ,  
Off-policy Model-based Learning under Unknown Factored Dynamics,  ,  ,  ,  
Log-Euclidean Metric Learning on Symmetric Positive Definite Manifold with Application to Image Set Classification,  ,  ,  ,  
Asymmetric Transfer Learning with Deep Gaussian Processes,  ,  ,  ,  
Towards a Lower Sample Complexity for Robust One-bit Compressed Sensing,  ,  ,  ,  
BilBOWA: Fast Bilingual Distributed Representations without Word Alignments,  ,  ,  ,  
Multi-view Sparse Co-clustering via Proximal Alternating Linearized Minimization,  ,  ,  ,  
Cascading Bandits: Learning to Rank in the Cascade Model,  ,  ,  ,  
Latent Topic Networks: A Versatile Probabilistic Programming Framework for Topic Models,  ,  ,  ,  
Random Coordinate Descent Methods for Minimizing Decomposable Submodular Functions,  ,  ,  ,  
Alpha-Beta Divergences Discover Micro and Macro Structures in Data,  ,  ,  ,  
Fictitious Self-Play in Extensive-Form Games,  ,  ,  ,  
Counterfactual Risk Minimization: Learning from Logged Bandit Feedback,  ,  ,  ,  
The Hedge Algorithm on a Continuum,  ,  ,  ,  
A Linear Dynamical System Model for Text,  ,  ,  ,  
Unsupervised Learning of Video Representations using LSTMs,  ,  ,  ,  
Message Passing for Collective Graphical Models,  ,  ,  ,  
DP-space: Bayesian Nonparametric Subspace Clustering with Small-variance Asymptotics,  ,  ,  ,  
HawkesTopic: A Joint Model for Network Inference and Topic Modeling from Text-Based Cascades,  ,  ,  ,  
MADE: Masked Autoencoder for Distribution Estimation,  ,  ,  ,  
An Online Learning Algorithm for Bilinear Models,  ,  ,  ,  
Adaptive Belief Propagation,  ,  ,  ,  
Large-scale log-determinant computation through stochastic Chebyshev expansions,  ,  ,  ,  
Differentially Private Bayesian Optimization,  ,  ,  ,  
A Nearly-Linear Time Framework for Graph-Structured Sparsity,  ,  ,  ,  
Support Matrix Machines,  ,  ,  ,  
Rademacher Observations, Private Data, and Boosting,  ,  ,  ,  
From Word Embeddings To Document Distances,  ,  ,  ,  
Bayesian and Empirical Bayesian Forests,  ,  ,  ,  
Inferring Graphs from Cascades: A Sparse Recovery Framework,  ,  ,  ,  
Distributed Box-Constrained Quadratic Optimization for Dual Linear SVM,  ,  ,  ,  
Safe Exploration for Optimization with Gaussian Processes,  ,  ,  ,  
The Ladder: A Reliable Leaderboard for Machine Learning Competitions,  ,  ,  ,  
Enabling scalable stochastic gradient-based inference for Gaussian processes by employing the Unbiased LInear System SolvEr (ULISSE),  ,  ,  ,  
Finding Galaxies in the Shadows of Quasars with Gaussian Processes,  ,  ,  ,  
Following the Perturbed Leader for Online Structured Learning,  ,  ,  ,  
Reified Context Models,  ,  ,  ,  
Large-Scale Markov Decision Problems with KL Control Cost and its Application to Crowdsourcing,  ,  ,  ,  
Learning Fast-Mixing Models for Structured Prediction,  ,  ,  ,  
A Probabilistic Model for Dirty Multi-task Feature Selection,  ,  ,  ,  
On Deep Multi-View Representation Learning,  ,  ,  ,  
Learning Program Embeddings to Propagate Feedback on Student Code,  ,  ,  ,  
Safe Subspace Screening for Nuclear Norm Regularized Least Squares Problems,  ,  ,  ,  
Efficient Learning in Large-Scale Combinatorial Semi-Bandits,  ,  ,  ,  
Swept Approximate Message Passing for Sparse Estimation,  ,  ,  ,  
Simple regret for infinitely many armed bandits,  ,  ,  ,  
Exponential Integration for Hamiltonian Monte Carlo,  ,  ,  ,  
Optimal Regret Analysis of Thompson Sampling in Stochastic Multi-armed Bandit Problem with Multiple Plays,  ,  ,  ,  
Faster cover trees,  ,  ,  ,  
Blitz: A Principled Meta-Algorithm for Scaling Sparse Optimization,  ,  ,  ,  
Unsupervised Domain Adaptation by Backpropagation,  ,  ,  ,  
Non-Linear Cross-Domain Collaborative Filtering via Hyper-Structure Transfer,  ,  ,  ,  
Manifold-valued Dirichlet Processes,  ,  ,  ,  
Multi-Task Learning for Subspace Segmentation,  ,  ,  ,  
Markov Chain Monte Carlo and Variational Inference: Bridging the Gap,  ,  ,  ,  
Scalable Model Selection for Large-Scale Factorial Relational Models,  ,  ,  ,  
The Power of Randomization: Distributed Submodular Maximization on Massive Datasets,  ,  ,  ,  
Dealing with small data: On the generalization of context trees,  ,  ,  ,  
Non-Gaussian Discriminative Factor Models via the Max-Margin Rank-Likelihood,  ,  ,  ,  
A Bayesian nonparametric procedure for comparing algorithms,  ,  ,  ,  
Convergence rate of Bayesian tensor estimator and its minimax optimality,  ,  ,  ,  
On Identifying Good Options under Combinatorially Structured Feedback in Finite Noisy Environments,  ,  ,  ,  
Nested Sequential Monte Carlo Methods,  ,  ,  ,  
Sparse Variational Inference for Generalized GP Models,  ,  ,  ,  
Universal Value Function Approximators,  ,  ,  ,  
Approximate Dynamic Programming for Two-Player Zero-Sum Markov Games,  ,  ,  ,  
On Greedy Maximization of Entropy,  ,  ,  ,  
Metadata Dependent Mondrian Processes,  ,  ,  ,  
Complex Event Detection using Semantic Saliency and Nearly-Isotonic SVM,  ,  ,  ,  
Rebuilding Factorized Information Criterion: Asymptotically Accurate Marginal Likelihood,  ,  ,  ,  
Double Nyström Method: An Efficient and Accurate Nyström Scheme for Large-Scale Data Sets,  ,  ,  ,  
The Composition Theorem for Differential Privacy,  ,  ,  ,  
Convex Formulation for Learning from Positive and Unlabeled Data,  ,  ,  ,  
Threshold Influence Model for Allocating Advertising Budgets,  ,  ,  ,  
Strongly Adaptive Online Learning,  ,  ,  ,  
CUR Algorithm for Partially Observed Matrices,  ,  ,  ,  
A Deterministic Analysis of Noisy Sparse Subspace Clustering for Dimensionality-reduced Data,  ,  ,  ,  
MRA-based Statistical Learning from Incomplete Rankings,  ,  ,  ,  
Risk and Regret of Hierarchical Bayesian Learners,  ,  ,  ,  
Towards a Learning Theory of Cause-Effect Inference,  ,  ,  ,  
DRAW: A Recurrent Neural Network For Image Generation,  ,  ,  ,  
Multiview Triplet Embedding: Learning Attributes in Multiple Maps,  ,  ,  ,  
Distributed Gaussian Processes,  ,  ,  ,  
Guaranteed Tensor Decomposition: A Moment Approach,  ,  ,  ,  
<span class="math">\(\ell_{1,p}\)</span>-Norm Regularization: Error Bounds and Convergence Rate Analysis of First-Order Methods,  ,  ,  ,  
Consistent estimation of dynamic and multi-layer block models,  ,  ,  ,  
On the Rate of Convergence and Error Bounds for LSTD(<span class="math">\(\lambda\)</span>),  ,  ,  ,  
Variational Inference with Normalizing Flows,  ,  ,  ,  
Controversy in mechanistic modelling with Gaussian processes,  ,  ,  ,  
Convex Learning of Multiple Tasks and their Structure,  ,  ,  ,  
K-hyperplane Hinge-Minimax Classifier,  ,  ,  ,  
Non-Stationary Approximate Modified Policy Iteration,  ,  ,  ,  
Entropy evaluation based on confidence intervals of frequency estimates : Application to the learning of decision trees,  ,  ,  ,  
Geometric Conditions for Subspace-Sparse Recovery,  ,  ,  ,  
An Empirical Study of Stochastic Variational Inference Algorithms for the Beta Bernoulli Process,  ,  ,  ,  
Long Short-Term Memory Over Recursive Structures,  ,  ,  ,  
Weight Uncertainty in Neural Network,  ,  ,  ,  
Learning Submodular Losses with the Lovasz Hinge,  ,  ,  ,  
Coordinate Descent Converges Faster with the Gauss-Southwell Rule Than Random Selection,  ,  ,  ,  
Hashing for Distributed Data,  ,  ,  ,  
Large-scale Distributed Dependent Nonparametric Trees,  ,  ,  ,  
Qualitative Multi-Armed Bandits: A Quantile-Based Approach,  ,  ,  ,  
Deep Edge-Aware Filters,  ,  ,  ,  
A Convex Optimization Framework for Bi-Clustering,  ,  ,  ,  
Is Feature Selection Secure against Training Data Poisoning?,  ,  ,  ,  
Predictive Entropy Search for Bayesian Optimization with Unknown Constraints,  ,  ,  ,  
A Theoretical Analysis of Metric Hypothesis Transfer Learning,  ,  ,  ,  
Generative Moment Matching Networks,  ,  ,  ,  
Stay on path: PCA along graph paths,  ,  ,  ,  
Deep Learning with Limited Numerical Precision,  ,  ,  ,  
Safe Screening for Multi-Task Feature Learning with Multiple Data Matrices,  ,  ,  ,  
Harmonic Exponential Families on Manifolds,  ,  ,  ,  
Training Deep Convolutional Neural Networks to Play Go,  ,  ,  ,  
Kernel Interpolation for Scalable Structured Gaussian Processes (KISS-GP),  ,  ,  ,  
Learning Deep Structured Models,  ,  ,  ,  
Community Detection Using Time-Dependent Personalized PageRank,  ,  ,  ,  
Scalable Variational Inference in Log-supermodular Models,  ,  ,  ,  
Variational Inference for Gaussian Process Modulated Poisson Processes,  ,  ,  ,  
Scalable Deep Poisson Factor Analysis for Topic Modeling,  ,  ,  ,  
Hidden Markov Anomaly Detection,  ,  ,  ,  
Robust Estimation of Transition Matrices in High Dimensional Heavy-tailed Vector Autoregressive Processes,  ,  ,  ,  
Convex Calibrated Surrogates for Hierarchical Classification,  ,  ,  ,  
Probabilistic Backpropagation for Scalable Learning of Bayesian Neural Networks,  ,  ,  ,  
Active Nearest Neighbors in Changing Environments,  ,  ,  ,  
Bipartite Edge Prediction via Transductive Learning over Product Graphs,  ,  ,  ,  
Trust Region Policy Optimization,  ,  ,  ,  
Discovering Temporal Causal Relations from Subsampled Data,  ,  ,  ,  
Preference Completion: Large-scale Collaborative Ranking from Pairwise Comparisons,  ,  ,  ,  
Causal Inference by Identification of Vector Autoregressive Processes with Hidden Components,  ,  ,  ,  
On Symmetric and Asymmetric LSHs for Inner Product Search,  ,  ,  ,  
The Kendall and Mallows Kernels for Permutations,  ,  ,  ,  
Bayesian Multiple Target Localization,  ,  ,  ,  
Submodularity in Data Subset Selection and Active Learning,  ,  ,  ,  
Variational Generative Stochastic Networks with Collaborative Shaping,  ,  ,  ,  
Adding vs. Averaging in Distributed Primal-Dual Optimization,  ,  ,  ,  
Feature-Budgeted Random Forest,  ,  ,  ,  
Entropic Graph-based Posterior Regularization,  ,  ,  ,  
Unsupervised Riemannian Metric Learning for Histograms Using Aitchison Transformations,  ,  ,  ,  
Low-Rank Matrix Recovery from Row-and-Column Affine Measurements,  ,  ,  ,  
Algorithms for the Hard Pre-Image Problem of String Kernels and the General Problem of String Prediction,  ,  ,  ,  
A Multitask Point Process Predictive Model,  ,  ,  ,  
A Hybrid Approach for Probabilistic Inference using Random Projections,  ,  ,  ,  
Show, Attend and Tell: Neural Image Caption Generation with Visual Attention,  ,  ,  ,  
Learning to Search Better than Your Teacher,  ,  ,  ,  
Gated Feedback Recurrent Neural Networks,  ,  ,  ,  
Context-based Unsupervised Data Fusion for Decision Making,  ,  ,  ,  
Phrase-based Image Captioning,  ,  ,  ,  
Celeste: Variational inference for a generative model of astronomical images,  ,  ,  ,  
Distributional Rank Aggregation, and an Axiomatic Analysis,  ,  ,  ,  
Gradient-based Hyperparameter Optimization through Reversible Learning,  ,  ,  ,  
Bimodal Modelling of Source Code and Natural Language,  ,  ,  ,  
Cheap Bandits,  ,  ,  ,  
Subsampling Methods for Persistent Homology,  ,  ,  ,  
An embarrassingly simple approach to zero-shot learning,  ,  ,  ,  
Binary Embedding: Fundamental Limits and Fast Algorithm,  ,  ,  ,  
Scalable Bayesian Optimization Using Deep Neural Networks,  ,  ,  ,  
How Hard is Inference for Structured Prediction?,  ,  ,  ,  
Online Time Series Prediction with Missing Data,  ,  ,  ,  
Proteins, Particles, and Pseudo-Max-Marginals: A Submodular Approach,  ,  ,  ,  
A Fast Variational Approach for Learning Markov Random Field Language Models,  ,  ,  ,  
Removing systematic errors for exoplanet search via latent causes,  ,  ,  ,  
Scalable Nonparametric Bayesian Inference on Point Processes with Gaussian Processes,  ,  ,  ,  
Correlation Clustering in Data Streams,  ,  ,  ,  
Learning Scale-Free Networks by Dynamic Node Specific Degree Prior,  ,  ,  ,  
Deep Unsupervised Learning using Nonequilibrium Thermodynamics,  ,  ,  ,  
Modeling Order in Neural Word Embeddings at Scale,  ,  ,  ,  
Distributed Inference for Dirichlet Process Mixture Models,  ,  ,  ,  
Compressing Neural Networks with the Hashing Trick,  ,  ,  ,  
Intersecting Faces: Non-negative Matrix Factorization With New Guarantees,  ,  ,  ,  
Scaling up Natural Gradient by Sparsely Factorizing the Inverse Fisher Matrix,  ,  ,  ,  
A Deeper Look at Planning as Learning from Replay,  ,  ,  ,  
Optimal and Adaptive Algorithms for Online Boosting,  ,  ,  ,  
Global Convergence of Stochastic Gradient Descent for Some Non-convex Matrix Problems,  ,  ,  ,  
An Empirical Exploration of Recurrent Network Architectures,  ,  ,  ,  
Complete Dictionary Recovery Using Nonconvex Optimization,  ,  ,  ,  
Safe Policy Search for Lifelong Reinforcement Learning with Sublinear Regret,  ,  ,  ,  
PASSCoDe: Parallel ASynchronous Stochastic dual Co-ordinate Descent,  ,  ,  ,  
High Confidence Policy Improvement,  ,  ,  ,  
Fixed-point algorithms for learning determinantal point processes,  ,  ,  ,  
Consistent Multiclass Algorithms for Complex Performance Measures,  ,  ,  ,  
Optimizing Neural Networks with Kronecker-factored Approximate Curvature,  ,  ,  ,  
A Convex Exemplar-based Approach to MAD-Bayes Dirichlet Process Mixture Models,  ,  ,  ,  
Multi-instance multi-label learning in the presence of novel class instances,  ,  ,  ,  
Entropy-Based Concentration Inequalities for Dependent Variables,  ,  ,  ,  
PU Learning for Matrix Completion,  ,  ,  ,  
An Asynchronous Distributed Proximal Gradient Method for Composite Convex Optimization,  ,  ,  ,  
Sparse Subspace Clustering with Missing Entries,  ,  ,  ,  
Moderated and Drifting Linear Dynamical Systems,  ,  ,  ,  
Boosted Categorical Restricted Boltzmann Machine for Computational Prediction of Splice Junctions,  ,  ,  ,  
Privacy for Free: Posterior Sampling and Stochastic Gradient Monte Carlo,  ,  ,  ,  
A trust-region method for stochastic variational inference with applications to streaming data,  ,  ,  ,  
Inference in a Partially Observed Queuing Model with Applications in Ecology,  ,  ,  ,  
Deterministic Independent Component Analysis,  ,  ,  ,  
On the Optimality of Multi-Label Classification under Subset Zero-One Loss for Distributions Satisfying the Composition Property,  ,  ,  ,  
Un-regularizing: approximate proximal point and faster stochastic algorithms for empirical risk minimization,  ,  ,  ,  
A New Generalized Error Path Algorithm for Model Selection,  ,  ,  ,  
