Title,AD Related,ALG Related,Other Topics,Remarks
Adaptive Canonical Correlation Analysis Based On Matrix Manifolds, ,[CLUSTERING], , 
Batch Active Learning via Coordinated Matching, ,[CLASSIFICATION], , 
Hybrid Batch Bayesian Optimization, , , , 
Efficient and Practical Stochastic Subgradient Descent for Nuclear Norm Regularization, , , , 
Gap Filling in the Plant Kingdom&mdash;Trait Prediction Using Hierarchical Probabilistic Matrix Factorization, , , , 
Sparse Support Vector Infinite Push, ,[SPARSE], , 
A Dantzig Selector Approach to Temporal Difference Learning, , , , 
Scaling Up Coordinate Descent Algorithms for Large <i>&#x2113;_1</i> Regularization Problems, , , , 
Cross-Domain Multitask Learning with Latent Probit Models,[ADTECH], , , 
Structured Learning from Partial Annotations, , , , 
Maximum Margin Output Coding, , , , 
Sequential Nonparametric Regression, , , , 
An Infinite Latent Attribute Model for Network Data, , , , 
On Local Regret, , , , 
Smoothness and Structure Learning by Proxy , , , , 
A fast and simple algorithm for training neural probabilistic language models, , ,[DEEPLEARNING], 
Incorporating Causal Prior Knowledge as Path-Constraints in Bayesian Networks and Maximal Ancestral Graphs, , , , 
High-Dimensional  Covariance  Decomposition into Sparse Markov and Independence Domains, ,[TIMESERIES], , 
Latent Collaborative Retrieval,[ADTECH], , , 
Lightning Does Not Strike Twice: Robust MDPs with Coupled Uncertainty, , , , 
On causal and anticausal learning, , , , 
Compact Hyperplane Hashing with Bilinear Functions, , , , 
Continuous Inverse Optimal Control with Locally Optimal Examples, , , , 
Convex Multitask Learning with Flexible Task Clusters,[ADTECH], , , 
A Hierarchical Dirichlet Process Model with Multiple Levels of Clustering for Human EEG Seizure Modeling, , , , 
Levy Measure Decompositions for the Beta and Gamma Processes, , , , 
Building high-level features using large scale unsupervised learning, ,[CLUSTERING], , 
Near-Optimal BRL using Optimistic Local Transitions, , , , 
A Unified Robust Classification Model, ,[CLASSIFICATION], , 
Manifold Relevance Determination, ,[CLUSTERING], , 
Residual Components Analysis, , , , 
Clustering to Maximize the Ratio of Split to Diameter, ,[CLUSTERING], , 
A Graphical Model Formulation of Collaborative Filtering  Neighbourhood Methods with Fast Maximum Entropy Training,[ADTECH], , , 
On-Line Portfolio Selection with Moving Average Reversion, , , , 
Improved Information Gain Estimates for Decision Tree Induction, , , , 
Influence Maximization in Continuous Time Diffusion Networks, , , , 
On the Size of the Online Kernel Sparsification Dictionary, , , , 
Multi-level Lasso for Sparse Multi-task Regression,[ADTECH],[REGRESSION], , 
Fast Computation of Subpath Kernel for Trees, , , , 
Total Variation and Euler's Elastica for Supervised Learning, , , , 
Learning the Dependence Graph of Time Series with Latent Factors, ,[TIMESERIES], , 
A Generalized Loop Correction Method  for Approximate Inference in Graphical Models, , , , 
Consistent Covariance Selection From Data With Missing Values, , , , 
Is margin preserved after random projection?, , , , 
A Bayesian Approach to Approximate Joint Diagonalization of Square Matrices, , , , 
Predicting accurate probabilities with a ranking loss,[ADTECH][RANKING], , , 
Learning with Augmented Features for Heterogeneous Domain Adaptation, , , , 
Dirichlet Process with Mixed Random Measures: A Nonparametric Topic Model for Labeled Data, ,[TIMESERIES], , 
Evaluating Bayesian and L1 Approaches for  Sparse Unsupervised Learning , ,[SPARSE], , 
Collaborative Topic Regression with Social Matrix Factorization for Recommendation Systems,[ADTECH],[REGRESSION], , 
LPQP for MAP: Putting LP Solvers to Better Use, , , , 
Clustering by Low-Rank Doubly Stochastic Matrix Decomposition, ,[CLUSTERING], , 
Dependent Hierarchical Normalized Random Measures for Dynamic Topic Modeling, , , , 
State-Space Inference for Non-Linear Latent Force Models with Application to Satellite Orbit Prediction, , , , 
Sparse Additive Functional and Kernel CCA, ,[SPARSE], , 
The Kernelized Stochastic Batch Perceptron, , , , 
Fast classification using  sparse decision DAGs, ,[SPARSE], , 
A Combinatorial Algebraic Approach for the Identifiability of Low-Rank Matrix Completion, , , , 
Rethinking Collapsed Variational Bayes Inference for LDA, ,[CLUSTERING], , 
Exact Maximum Margin Structure Learning of Bayesian Networks, , , , 
AOSO-LogitBoost: Adaptive One-Vs-One LogitBoost for Multi-Class Problem, , , , 
Hypothesis testing using pairwise distances and associated kernels, , , , 
Monte Carlo Bayesian Reinforcement Learning, , , , 
A Topic Model for Melodic Sequences, , , , 
Output Space Search for Structured Prediction, , , , 
How To Grade a Test Without Knowing the Answers &mdash;  A Bayesian Graphical Model for Adaptive Crowdsourcing and Aptitude Testing, , , , 
Parallelizing Exploration-Exploitation Tradeoffs with Gaussian Process Bandit Optimization, , , , 
A Simple Algorithm for Semi-supervised Learning with Improved Generalization Error Bound, ,[CLASSIFICATION], , 
Bayesian Optimal Active Search and Surveying, , , , 
Incorporating Domain Knowledge in Matching Problems via Harmonic Analysis, , , , 
Lognormal and Gamma Mixed Negative Binomial Regression, , , , 
Greedy Algorithms for Sparse Reinforcement Learning, , , , 
Variance Function Estimation in High-dimensions, , , , 
Conditional Sparse Coding and Grouped Multivariate Regression, ,[SPARSE][REGRESSION], , 
Apprenticeship Learning for Model Parameters of Partially Observable Environments, , , , 
Modeling Images using Transformed Indian Buffet Processes, , , , 
Learning Object Arrangements in 3D Scenes using Human Context, , , , 
Cross Language Text Classification via  Subspace Co-regularized Multi-view Learning ,[ADTECH],[CLASSIFICATION], , 
Plug-in martingales for testing exchangeability on-line, , , , 
An Iterative Locally Linear Embedding Algorithm, , , , 
Gaussian Process Quantile Regression using Expectation Propagation, ,[REGRESSION], , 
Latent Multi-group Membership Graph Model, , , , 
Exponential Regret Bounds for Gaussian Process Bandits with Deterministic Observations,[BANDIT], , , 
Estimating the Hessian by Back-propagating Curvature, , , , 
Feature Selection via Probabilistic Outputs, ,[CLASSIFICATION], , 
Hierarchical Exploration for Accelerating Contextual Bandits, , , , 
Fast Training of Nonlinear Embedding Algorithms, , , , 
Fast Prediction of New Feature Utility, , , , 
Robust Classification with Adiabatic Quantum Optimization, , , , 
Agglomerative Bregman Clustering, , , , 
Isoelastic Agents and Wealth Updates in Machine Learning Markets, , , , 
Quasi-Newton Methods: A New Direction, ,[REGRESSION], , 
No-Regret Learning in Extensive-Form Games with Imperfect Recall, , , , 
Information-theoretic Semi-supervised Metric Learning via Entropy Regularization, ,[CLASSIFICATION], , 
Fast approximation of matrix coherence and statistical leverage, , , , 
Predicting Manhole Events in New York City, , , , 
Artist Agent: A Reinforcement Learning Approach to Automatic Stroke Generation in Oriental Ink Painting, , , , 
On multi-view feature learning, ,[CLASSIFICATION], , 
Fast Bounded Online Gradient Descent Algorithms for Scalable Kernel-Based Online Learning, , , , 
A Hybrid Algorithm for Convex Semidefinite Optimization, , , , 
A Complete Analysis of the l_1 p Group-Lasso, , , , 
Convergence Rates of Biased Stochastic Optimization for Learning Sparse Ising Models, ,[SPARSE], , 
Decoupling Exploration and Exploitation in Multi-Armed Bandits,[BANDIT], , , 
Learning to Identify Regular Expressions that Describe Email Campaigns,[ADTECH], , , 
Deep Mixtures of Factor Analysers, , , , 
Revisiting k-means: New Algorithms via Bayesian Nonparametrics, ,[CLUSTERING], , 
Gaussian Process Regression Networks, ,[REGRESSION], , 
Analysis of Kernel Mean Matching under Covariate Shift, , , , 
Tighter Variational Representations of f-Divergences via Restriction to Probability Measures, , , , 
Training Restricted Boltzmann Machines on Word Observations, , ,[DEEPLEARNING], 
Bayesian Watermark Attacks, , , , 
Max-Margin Nonparametric Latent Feature Models for Link Prediction, , , , 
Discriminative Probabilistic Prototype Learning, , , , 
Sparse-GEV: Sparse Latent Space Model for Multivariate Extreme Value Time Serie Modeling, ,[SPARSE], , 
Factorized Asymptotic Bayesian Hidden Markov Models, ,[TIMESERIES], , 
PAC-Bayesian Generalization Bound on Confusion Matrix for Multi-Class Classification, , , , 
Semi-Supervised Learning of Class Balance under Class-Prior Change by Distribution Matching, ,[CLASSIFICATION], , 
A Proximal-Gradient Homotopy Method for the L1-Regularized Least-Squares Problem, , , , 
Comparison-Based  Learning with Rank Nets, , , , 
Semi-Supervised Collective Classification via Hybrid Label Regularization, ,[CLASSIFICATION], , 
Shortest path distance in random k-nearest neighbor graphs, ,[CLASSIFICATION], , 
A Split-Merge Framework for Comparing Clusterings, ,[CLUSTERING], , 
Compositional Planning Using Optimal Option Models, , , , 
Information-Theoretical Learning of Discriminative Clusters for Unsupervised Domain Adaptation, , , , 
Flexible Modeling of Latent Task Structures in Multitask Learning, , , , 
An Efficient Approach to Sparse Linear Discriminant Analysis, ,[SPARSE], , 
The Greedy Miser: Learning under Test-time Budgets, , , , 
Canonical Trends: Detecting Trend Setters in Web Data,[ADTECH], , , 
A convex relaxation for weakly supervised classifiers, ,[CLASSIFICATION], , 
Demand-Driven Clustering in Relational Domains for Predicting Adverse Drug Events, , , , 
A Binary Classification Framework for Two-Stage Multiple Kernel Learning, , , , 
Learning Invariant Representations with Local Transformations, , , , 
Consistent Multilabel Ranking through Univariate Losses,[RANKING], , , 
On the Equivalence between Herding and Conditional Gradient Algorithms, , , , 
Variational Bayesian Inference with Stochastic Search, , , , 
Small-sample brain mapping: sparse recovery on spatially correlated designs with randomization and clustering, ,[SPARSE][CLUSTERING], , 
Joint Optimization and Variable Selection of High-dimensional Gaussian Processes, , , , 
Large-Scale Feature Learning With Spike-and-Slab Sparse Coding, , , , 
Anytime Marginal MAP Inference, , , , 
Distributed Parameter Estimation via Pseudo-likelihood , , , , 
The Nonparametric Metadata Dependent Relational Model, , , , 
Deep Lambertian Networks, , , , 
Convergence of the EM Algorithm for Gaussian Mixtures with Unbalanced Mixing Coefficients, ,[CLUSTERING], , 
A Joint Model of Language and Perception for Grounded Attribute Learning, , , , 
Learning Parameterized Skills, , , , 
Safe Exploration in Markov Decision Processes , ,[TIMESERIES], , 
Improved Estimation in Time Varying Models, , , , 
Poisoning Attacks against Support Vector Machines, , , , 
Regularizers versus Losses for Nonlinear Dimensionality Reduction: A Factored View with New Convex Relaxations, , , , 
Utilizing Static Analysis and Code Generation to Accelerate Neural Networks, , ,[DEEPLEARNING], 
Similarity Learning for Provably Accurate Sparse Linear Classification, , , , 
Variational Inference in Non-negative Factorial Hidden Markov Models for Efficient Audio Source Separation, , , , 
Conditional Likelihood Maximization: A Unifying Framework for Information Theoretic Feature Selection, , , , 
Communications Inspired Linear Discriminant Analysis, , , , 
Sparse stochastic inference for latent Dirichlet allocation, , , , 
Stochastic Smoothing for Nonsmooth Minimizations: Accelerating SGD by Exploiting Structure, , , , 
A Convex Feature Learning Formulation for Latent Task Structure Discovery, , , , 
Efficient Decomposed Learning for Structured Prediction, , , , 
Path Integral Policy Improvement with Covariance Matrix Adaptation, , , , 
Optimizing F-measure: A Tale of Two Approaches, , , , 
Efficient Euclidean Projections onto the Intersection of Norm Balls, , , , 
Making Gradient Descent Optimal for Strongly Convex Stochastic Optimization, , , , 
Clustering using Max-norm Constrained Optimization, , , , 
Submodular Inference of Diffusion Networks from Multiple Trees, , , , 
Approximate Dynamic Programming By Minimizing Distributionally Robust Bounds, , , , 
Modelling transition dynamics in MDPs with RKHS embeddings, , , , 
Approximate Principal Direction Trees, , , , 
Unachievable Region in Precision-Recall Space and Its Effect on Empirical Evaluation, , , , 
Randomized Smoothing for (Parallel) Stochastic Optimization, , , , 
Marginalized Denoising Autoencoders for Domain Adaptation, , , , 
Copula-based Kernel Dependency Measures, , , , 
Group Sparse Additive Models, , , , 
Policy Gradients with Variance Related Risk Criteria, , , , 
Efficient Structured Prediction with Latent Variables for General Graphical Models, , , , 
On the Partition Function and Random Maximum A-Posteriori Perturbations, , , , 
Infinite Tucker Decomposition: Nonparametric Bayesian Models for Multiway Data Analysis, , , , 
Inferring Latent Structure From Mixed Real and Categorical Relational Data, , , , 
Bayesian Conditional Cointegration, , , , 
Online Alternating Direction Method, , , , 
On the Sample Complexity of Reinforcement Learning with a Generative Model , , , , 
Convergence Rates for Differentially Private Statistical Estimation, , , , 
Learning Task Grouping and Overlap in Multi-task Learning,[ADTECH], , , 
High Dimensional Semiparametric Gaussian Copula Graphical Models, , , , 
Discovering Support and Affiliated Features from Very High Dimensions, , , , 
Online Bandit Learning against an Adaptive Adversary: from Regret to Policy Regret,[BANDIT], , , 
Statistical linear estimation with penalized estimators: an application to reinforcement learning, , , , 
Large Scale Variational Bayesian Inference for Structured Scale Mixture Models, , , , 
Bayesian Posterior Sampling via Stochastic Gradient Fisher Scoring, , , , 
An adaptive algorithm for finite stochastic partial monitoring, , , , 
The Big Data Bootstrap, , , , 
Predicting Consumer Behavior in Commerce Search,[ADTECH], , , 
Conditional mean embeddings as regressors, , , , 
A Generative Process for Contractive Auto-Encoders, , , , 
Local Loss Optimization in Operator Models: A New Insight into Spectral Learning, , , , 
Robust PCA in High-dimension: A Deterministic Approach, ,[CLUSTERING], , 
Complexity Analysis of the Lasso Regularization Path, , , , 
Projection-free Online Learning, , , , 
Machine Learning that Matters, , , , 
Scene parsing with Multiscale Feature Learning  Purity Trees  and Optimal Covers, , , , 
Linear Regression with Limited Observation, ,[REGRESSION], , 
An Online Boosting Algorithm with Theoretical Justifications, , , , 
Modeling Temporal Dependencies in High-Dimensional Sequences: Application to Polyphonic Music Generation and Transcription, , , , 
Approximate Modified Policy Iteration, , , , 
Nonparametric Link Prediction in Dynamic Networks, , , , 
Agnostic System Identification for Model-Based Reinforcement Learning, , , , 
