ICML2014, , ,Priority,Conference
Conditional Sparse Coding and Grouped Multivariate Regression, ,[SPARSE][REGRESSION],1,ICML2012
Cross Language Text Classification via  Subspace Co-regularized Multi-view Learning ,[ADTECH],[CLASSIFICATION],1,ICML2012
Gaussian Process Quantile Regression using Expectation Propagation, ,[REGRESSION],1,ICML2012
Feature Selection via Probabilistic Outputs, ,[CLASSIFICATION],1,ICML2012
Quasi-Newton Methods: A New Direction, ,[REGRESSION],1,ICML2012
Revisiting k-means: New Algorithms via Bayesian Nonparametrics, ,[CLUSTERING],1,ICML2012
Gaussian Process Regression Networks, ,[REGRESSION],1,ICML2012
A Split-Merge Framework for Comparing Clusterings, ,[CLUSTERING],1,ICML2012
An Efficient Approach to Sparse Linear Discriminant Analysis, ,[SPARSE],1,ICML2012
Small-sample brain mapping: sparse recovery on spatially correlated designs with randomization and clustering, ,[SPARSE][CLUSTERING],1,ICML2012
Convergence of the EM Algorithm for Gaussian Mixtures with Unbalanced Mixing Coefficients, ,[CLUSTERING],1,ICML2012
Learning Task Grouping and Overlap in Multi-task Learning,[ADTECH], ,1,ICML2012
Predicting Consumer Behavior in Commerce Search,[ADTECH], ,1,ICML2012
Robust PCA in High-dimension: A Deterministic Approach, ,[CLUSTERING],1,ICML2012
Linear Regression with Limited Observation, ,[REGRESSION],1,ICML2012
Inferring user demographics and social strategies in mobile social networks.,[ADTECH], ,1,KDD2014
A cost-effective recommender system for taxi drivers.,[ADTECH], ,1,KDD2014
Clinical risk prediction with multilinear sparse logistic regression., ,[SPARSE][REGRESSION],1,KDD2014
COM: a generative model for group recommendation.,[ADTECH], ,1,KDD2014
Representative clustering of uncertain data., ,[CLUSTERING],1,KDD2014
SMVC: semi-supervised multi-view clustering in subspace projections., ,[CLUSTERING],1,KDD2014
Online multiple kernel regression., ,[REGRESSION],1,KDD2014
Correlation clustering in MapReduce., ,[CLUSTERING],1,KDD2014
Efficient multi-task feature learning with calibration.,[ADTECH], ,1,KDD2014
Multi-task copula by sparse graph regression.,[ADTECH],[SPARSE][REGRESSION],1,KDD2014
Clustering and projected clustering with adaptive neighbors., ,[CLUSTERING],1,KDD2014
Optimal real-time bidding for display advertising.,[ADTECH], ,1,KDD2014
Focused clustering and outlier detection in large attributed graphs., ,[CLUSTERING],1,KDD2014
An empirical study of reserve price optimisation in real-time bidding.,[ADTECH], ,1,KDD2014
We know what you want to buy: a demographic-based system for product recommendation on microblogs.,[ADTECH], ,1,KDD2014
Density-based logistic regression., ,[REGRESSION],1,KDD2013
Robust sparse estimation of multiresponse regression and inverse covariance matrix via the L2 distance., ,[SPARSE][REGRESSION],1,KDD2013
To buy or not to buy: that is the question.,[ADTECH], ,1,KDD2013
Query clustering based on bid landscape for sponsored search auction optimization., ,[CLUSTERING],1,KDD2013
eTrust: understanding trust evolution in an online world.,[ADTECH], ,1,KDD2012
A sparsity-inducing formulation for evolutionary co-clustering., ,[CLUSTERING],1,KDD2012
Inductive multi-task learning with multiple view data.,[ADTECH], ,1,KDD2012
Semi-supervised learning with mixed knowledge information., ,[CLUSTERING],1,KDD2012
Multimedia features for click prediction of new ads in display advertising.,[CTR], ,1,KDD2012
Unsupervised feature selection for linked social media data., ,[CLUSTERING],1,KDD2012
